#body,head,ruleId,isAgg,isTx
spentTotal,allowance,1,false,false
decreaseAllowanceTotal,allowance,1,false,false
increaseAllowanceTotal,allowance,1,false,false
allowance,burnFrom,3,false,true
balanceOf,burnFrom,3,false,true
msgSender,burnFrom,3,false,true
msgSender,burn,5,false,true
balanceOf,burn,5,false,true
totalBalances,unequalBalance,6,false,false
totalSupply,unequalBalance,6,false,false
decreaseAllowance,decreaseAllowanceTotal,7,true,false
transferFrom,spentTotal,8,true,false
burnFrom,transferFrom,9,false,false
msgSender,increaseAllowance,10,false,true
transferFrom,transfer,11,false,false
allowance,decreaseAllowance,12,false,true
msgSender,decreaseAllowance,12,false,true
mint,allMint,13,true,false
burn,totalBurn,15,true,false
allBurn,totalSupply,16,false,false
allMint,totalSupply,16,false,false
msgSender,increaseAllowance,17,false,true
allowance,increaseAllowance,17,false,true
mint,totalMint,18,true,false
balanceOf,transfer,19,false,true
msgSender,transfer,19,false,true
burnFrom,burn,20,false,false
transfer,totalOut,21,true,false
balanceOf,totalBalances,22,true,false
totalIn,balanceOf,23,false,false
totalOut,balanceOf,23,false,false
totalMint,balanceOf,23,false,false
totalBurn,balanceOf,23,false,false
msgSender,decreaseAllowance,25,false,true
owner,mint,26,false,true
msgSender,mint,26,false,true
allowance,transferFrom,27,false,true
msgSender,transferFrom,27,false,true
balanceOf,transferFrom,27,false,true
burn,allBurn,28,true,false
increaseAllowance,increaseAllowanceTotal,30,true,false
transfer,totalIn,31,true,false
